date,residual
2015-01-01,-0.21261757440417384
2015-01-02,-0.13967429794213615
2015-01-03,-0.01780320335474528
2015-01-04,0.016422640942437283
2015-01-05,-0.007945381430685572
2015-01-06,-0.059188459217754286
2015-01-07,-0.005131268600845118
2015-01-08,-0.045149637801616294
2015-01-09,-0.001891833475696103
2015-01-10,0.019515179141423644
2015-01-11,0.05992678660731521
2015-01-12,0.028036080572791278
2015-01-13,-0.03834525714100323
2015-01-14,-0.03847428734145275
2015-01-15,-0.026044467410946126
2015-01-16,-0.05854714909283132
2015-01-17,-0.05415625737678731
2015-01-18,-0.030996861397296627
2015-01-19,-0.015059007134086144
2015-01-20,0.0039360383697601975
2015-01-21,0.0016897228190266844
2015-01-22,0.005269367290891225
2015-01-23,0.04260625488551284
2015-01-24,0.04487471223558437
2015-01-25,0.011192079969728042
2015-01-26,-0.01376947648267901
2015-01-27,-0.01730657304447014
2015-01-28,-0.04033570872231884
2015-01-29,-0.021645760588516083
2015-01-30,0.0009759675061093986
2015-01-31,0.02687485885132368
2015-02-01,0.023241623506326192
2015-02-02,0.052856452548752486
2015-02-03,0.053505082624287326
2015-02-04,0.050778779388876316
2015-02-05,0.061530978261979286
2015-02-06,0.021956652236905683
2015-02-07,-0.0005937615793900619
2015-02-08,0.015516074651914735
2015-02-09,-0.06871804579794905
2015-02-10,-0.05983172305017703
2015-02-11,-0.055584291761471505
2015-02-12,-0.044449070189315876
2015-02-13,-0.02186770708046204
2015-02-14,-0.013751013936687428
2015-02-15,-0.006595078014241196
2015-02-16,0.027756872658104115
2015-02-17,0.021151297456549756
2015-02-18,-0.04288747210473609
2015-02-19,-0.054906592779122576
2015-02-20,-0.03794462655523567
2015-02-21,-0.020487716702398018
2015-02-22,-0.016596345755399255
2015-02-23,0.008737102229043003
2015-02-24,-0.03078636842226956
2015-02-25,-0.07249314483276947
2015-02-26,-0.03305879508961951
2015-02-27,-0.0031319062421850674
2015-02-28,-0.01555565708808615
2015-03-01,0.009829476466540754
2015-03-02,-0.036962063094069464
2015-03-03,-0.026844473501812516
2015-03-04,-0.008356533576101555
2015-03-05,-0.011349927504275215
2015-03-06,-0.02932679675051375
2015-03-07,-0.03345342708661292
2015-03-08,-0.10036350672031347
2015-03-09,-0.09066522351144002
2015-03-10,-0.07085757674167859
2015-03-11,-0.06929738280918585
2015-03-12,-0.03883452500388884
2015-03-13,-0.013828849085161465
2015-03-14,-0.00579511436129998
2015-03-15,-0.026937819688487963
2015-03-16,-0.10425800444372335
2015-03-17,-0.06753646477894826
2015-03-18,-0.07219864466431503
2015-03-19,-0.06309747582612424
2015-03-20,-0.012261771020355638
2015-03-21,0.03955040063935655
2015-03-22,0.09072765041507047
