date,forecast_mw,lower_95,upper_95,actual_mw
2020-09-01,8638.085193003391,8059.0760387563705,9258.69360740002,8599.416666666666
2020-09-02,8598.823328981689,7812.342973847214,9464.479848178999,8684.5
2020-09-03,8476.574449586384,7612.177438913144,9439.127631480902,8472.625
2020-09-04,8235.562008534293,7342.6163636089605,9237.099997837444,8182.958333333333
2020-09-05,7530.050293327093,6685.517541499353,8481.266718405635,7476.541666666667
2020-09-06,7518.155378818463,6657.591921982774,8489.95567202371,7399.791666666667
2020-09-07,8431.153279984734,7454.114141600255,9536.256660450972,8524.5
2020-09-08,8433.45828939767,7448.670170207603,9548.445171257727,8486.041666666666
2020-09-09,8501.09113496484,7503.690078659145,9631.068144793606,8574.833333333334
2020-09-10,8437.551294375753,7444.665650771596,9562.856840702212,8682.5
2020-09-11,8251.85405170564,7279.012986861477,9354.715455729787,8566.416666666666
2020-09-12,7581.857458836968,6686.959317027569,8596.51746044633,7792.291666666667
2020-09-13,7600.681407047246,6702.9013203008835,8618.709285853007,7657.791666666667
2020-09-14,8551.162234575493,7540.6448704138575,9697.098433706875,8536.958333333334
2020-09-15,8575.870032151122,7562.136995824834,9725.497812186344,8668.916666666666
2020-09-16,8662.868185002368,7638.662875750098,9824.400737590719,8746.958333333334
2020-09-17,8612.838043411444,7594.429642279737,9767.814392413977,8959.666666666666
2020-09-18,8435.01165285385,7437.5570431583565,9566.235414520821,8590.291666666666
2020-09-19,7758.962543430341,6841.40958875997,8799.575433878774,7765.166666666667
2020-09-20,7785.486805113994,6864.770392221519,8829.691501595713,7768.958333333333
2020-09-21,8765.816513893931,7729.146702078401,9941.529397364533,8551.916666666666
2020-09-22,8796.744661130486,7756.405170014552,9976.621248755953,8356.958333333334
2020-09-23,8890.693477871155,7839.235542267072,10083.180954478808,8653.166666666666
2020-09-24,8843.265020406841,7797.41140183918,10029.397217992817,8462.791666666666
2020-09-25,8663.905424853032,7639.260896100331,9825.984245297344,8506.541666666666
2020-09-26,7972.014272069035,7029.195145273864,9041.292813844078,7734.541666666667
2020-09-27,8001.394894396655,7055.09994415743,9074.615634480992,7687.875
2020-09-28,9010.947042341053,7945.2553725570515,10219.579207023398,9110.958333333334
2020-09-29,9044.479179387716,7974.82129601398,10257.609617818654,8940.333333333334
2020-09-30,9142.570692505547,8061.311567390047,10368.858487691925,9088.347826086956
