"Date","Open","High","Low","Close","Volume"
"01/07/2026","188.57","191.37","186.56","189.11","153,543,200"
"01/06/2026","190.52","192.174","186.82","187.24","176,862,600"
"01/05/2026","191.76","193.63","186.15","188.12","183,529,700"
"01/02/2026","189.835","192.9299","188.26","188.85","148,240,500"
"12/31/2025","189.57","190.56","186.49","186.5","120,100,500"
"12/30/2025","188.24","188.99","186.93","187.54","97,687,270"
"12/29/2025","187.71","188.755","185.91","188.22","120,006,100"
"12/26/2025","189.92","192.69","188","190.53","139,740,300"
"12/24/2025","187.94","188.91","186.59","188.61","65,528,550"
"12/23/2025","182.97","189.33","182.9","189.21","174,873,600"
"12/22/2025","183.92","184.16","182.35","183.69","129,064,400"
"12/19/2025","176.665","181.45","176.34","180.99","324,925,900"
"12/18/2025","174.53","176.15","171.82","174.14","176,096,000"
"12/17/2025","176.1","176.13","170.31","170.94","222,775,500"
"12/16/2025","176.26","178.49","174.9","177.72","148,588,100"
"12/15/2025","177.936","178.415","175.03","176.29","164,775,600"
"12/12/2025","181.11","182.82","174.62","175.02","204,274,900"
"12/11/2025","180.275","181.32","176.62","180.93","182,136,600"
"12/10/2025","184.965","185.48","182.035","183.78","162,785,400"
"12/09/2025","185.56","185.7167","183.32","184.97","144,719,700"
"12/08/2025","182.64","188","182.4","185.55","204,378,100"
"12/05/2025","183.89","184.66","180.91","182.41","143,971,100"
"12/04/2025","181.62","184.515","179.96","183.38","167,364,900"
"12/03/2025","181.08","182.45","179.1101","179.59","165,138,000"
"12/02/2025","181.76","185.66","180","181.46","182,632,200"
"12/01/2025","174.76","180.3","173.68","179.92","188,131,000"
"11/28/2025","179.01","179.29","176.5","177","121,332,800"
"11/26/2025","181.63","182.91","178.24","180.26","183,852,000"
"11/25/2025","174.91","178.16","169.55","177.82","320,600,300"
"11/24/2025","179.49","183.5","176.48","182.55","256,618,300"
"11/21/2025","181.235","184.56","172.93","178.88","346,926,200"
"11/20/2025","195.95","196","179.85","180.64","343,504,800"
"11/19/2025","184.79","187.855","182.8301","186.52","247,246,400"
"11/18/2025","183.375","184.8","179.65","181.36","213,598,900"
"11/17/2025","185.965","189","184.32","186.6","173,628,900"
"11/14/2025","182.86","191.01","180.58","190.17","186,591,900"
"11/13/2025","191.05","191.44","183.85","186.86","207,423,100"
"11/12/2025","195.72","195.89","191.13","193.8","154,935,300"
"11/11/2025","195.155","195.42","191.3","193.16","176,483,300"
"11/10/2025","195.11","199.94","193.79","199.05","198,897,100"
"11/07/2025","184.9","188.32","178.91","188.15","264,942,300"
"11/06/2025","196.42","197.62","186.38","188.08","223,029,800"
"11/05/2025","198.77","202.92","194.65","195.21","171,350,300"
"11/04/2025","203","203.9699","197.93","198.69","188,919,300"
"11/03/2025","208.08","211.335","205.56","206.88","180,267,300"
"10/31/2025","206.45","207.97","202.07","202.49","179,802,200"
"10/30/2025","205.15","206.16","201.41","202.89","178,864,400"
"10/29/2025","207.98","212.1899","204.775","207.04","308,829,600"
"10/28/2025","193.05","203.15","191.91","201.03","297,986,200"
"10/27/2025","189.99","192","188.4318","191.49","153,452,700"
"10/24/2025","183.835","187.47","183.5","186.26","131,296,700"
"10/23/2025","180.42","183.03","179.7901","182.16","111,363,700"
"10/22/2025","181.14","183.44","176.76","180.28","162,249,600"
"10/21/2025","182.785","182.785","179.8","181.16","124,240,200"
"10/20/2025","183.13","185.2","181.73","182.64","128,544,700"
